question,answer,category,difficulty
"Quelle est la devise de l'Afrique du Sud ?","L'unité dans la diversité","Devise nationale","facile"
"Quelle est la devise d'Antigua-et-Barbuda ?","Chacun essaie, tout le monde réussit","Devise nationale","facile"
"Quelle est la devise des Bahamas ?","En avant, en montant, au-delà ensemble","Devise nationale","facile"
"Quelle est la devise de la Barbade ?","Fierté et Industrie","Devise nationale","facile"
"Quelle est la devise du Botswana ?","Que tombe la pluie !","Devise nationale","facile"
"Quelle est la devise du Canada ?","D'un océan à l'autre","Devise nationale","facile"
"Quelle est la devise de la Côte d'Ivoire ?","Union, Discipline, Travail","Devise nationale","facile"
"Quelle est la devise de la Dominique ?","Après Dieu, c'est la terre","Devise nationale","facile"
"Quelle est la devise de l'Eswatini ?","Nous sommes la forteresse","Devise nationale","facile"
"Quelle est la devise du Lesotho ?","Paix, pluie et prospérité","Devise nationale","facile"
"Quelle est la devise du Luxembourg ?","Nous voulons rester ce que nous sommes","Devise nationale","facile"
"Quelle est la devise de la Moldavie ?","Notre langue est un trésor","Devise nationale","facile"
"Quelle est la devise de la Norvège ?","Tout pour la Norvège","Devise nationale","facile"
"Quelle est la devise du Québec ?","Je me souviens","Devise nationale","facile"
"Quelle est la devise des Îles Salomon ?","Diriger c'est servir","Devise nationale","facile"
"Quelle est la devise de la Suisse ?","Un pour tous, tous pour un","Devise nationale","facile"
"Quelle est la devise du Yémen ?","Dieu, la patrie, la révolution, l'unité","Devise nationale","facile"
"Que signifie la phobie Placomusophobie ?","Peur des récompenses ou compliments","Phobies rares","difficile"
"Que signifie la phobie Athazagoraphobie ?","Peur d'être oublié ou ignoré","Phobies rares","difficile"
"Que signifie la phobie Cherophobie ?","Peur du bonheur","Phobies rares","difficile"
"Que signifie la phobie Coulrophobie ?","Peur des clowns","Phobies rares","facile"
"Que signifie la phobie Ombrophobie ?","Peur de la pluie","Phobies rares","moyen"
"Que signifie la phobie Nomophobie ?","Peur d'être sans téléphone portable","Phobies rares","moyen"
"Que signifie la phobie Xanthophobie ?","Peur de la couleur jaune","Phobies rares","difficile"
"Que signifie la phobie Hippopotomonstrosesquippedaliophobie ?","Peur des mots longs","Phobies rares","difficile"
"Que signifie la phobie Arachibutyrophobie ?","Peur que le beurre de cacahuète colle au palais","Phobies rares","difficile"
"Que signifie la phobie Ergophobie ?","Peur du travail ou des tâches","Phobies rares","moyen"
"Que signifie la phobie Triskaïdékaphobie ?","Peur du nombre 13","Phobies rares","facile"
"Que signifie la phobie Selenophobie ?","Peur de la lune","Phobies rares","difficile"
"Que signifie la phobie Pogonophobie ?","Peur des barbes","Phobies rares","difficile"
"Que signifie la phobie Anthophobie ?","Peur des fleurs","Phobies rares","moyen"
"Que signifie la phobie Globophobie ?","Peur des ballons","Phobies rares","facile"
"Quel est le plus long fleuve souterrain connu ?","Río Sótano de las Golondrinas","Géographie / Nature","difficile"
